"Item"," Diameter"," Focal Length"," Radius of Curvature"," Center Thickness"," Edge Thickness"," Back Focal Length"
"LA1116",0.006,0.01,-0.0052,0.0025,0.0015,0.0084
"LA1470",0.006,0.012,-0.0062,0.0023,0.0015,0.0105
"LA1222",0.006,0.015,-0.0077,0.0021,0.0015,0.0136
"LA1700",0.006,0.03,-0.0155,0.0018,0.0015,0.0288
"LA1576",0.009,0.012,-0.0062,0.003,0.0015,0.0097
"LA1472",0.009,0.02,-0.0103,0.0025,0.0015,0.0183
"LA1540",0.0127,0.015,-0.0077,0.0051,0.0018,0.0116
"LA1074",0.0127,0.02,-0.0103,0.004,0.0018,0.0174
"LA1560",0.0127,0.025,-0.0129,0.0035,0.0018,0.0227
"LA1289",0.0127,0.03,-0.0155,0.0032,0.0018,0.0279
"LA1304",0.0127,0.04,-0.0206,0.0028,0.0018,0.0381
"LA1213",0.0127,0.05,-0.0258,0.0026,0.0018,0.0483
"LA1207",0.0127,0.1,-0.0515,0.0022,0.0018,0.0986
"LA1859",0.018,0.02,-0.0103,0.0071,0.0018,0.01532
"LA1270",0.018,0.025,-0.0129,0.0055,0.0018,0.02139
"LA1085",0.018,0.03,-0.0155,0.0047,0.0018,0.0269
"LA1119",0.018,0.05,-0.0258,0.0034,0.0018,0.04774
"LA1252",0.025,0.0254,-0.0131,0.0117,0.0025,0.0177
"LA1255",0.025,0.05,-0.0258,0.0053,0.00207,0.0465
"LA1257",0.025,0.075,-0.0386,0.0041,0.00202,0.0723
"LA1251",0.025,0.1,-0.0515,0.0036,0.00206,0.0976
"LA1253",0.025,0.2,-0.103,0.0028,0.00204,0.1982
"LA1951",0.0254,0.0254,-0.0131,0.0117,0.0018,0.0177
"LA1805",0.0254,0.03,-0.0155,0.0086,0.002,0.0243
"LA1027",0.0254,0.035,-0.018,0.0072,0.002,0.0302
"LA1422",0.0254,0.04,-0.0206,0.0064,0.002,0.0358
"LA1131",0.0254,0.05,-0.0258,0.0053,0.002,0.0465
"LA1134",0.0254,0.06,-0.0309,0.0047,0.002,0.0569
"LA1608",0.0254,0.075,-0.0386,0.0041,0.002,0.0723
"LA1509",0.0254,0.1,-0.0515,0.0036,0.002,0.0976
"LA1986",0.0254,0.125,-0.0644,0.0033,0.002,0.1229
"LA1433",0.0254,0.15,-0.0773,0.0031,0.002,0.148
"LA1229",0.0254,0.175,-0.0901,0.0029,0.002,0.1731
"LA1708",0.0254,0.2,-0.103,0.0028,0.002,0.1982
"LA1461",0.0254,0.25,-0.1288,0.0026,0.002,0.2483
"LA1484",0.0254,0.3,-0.1545,0.0025,0.002,0.2983
"LA1172",0.0254,0.4,-0.206,0.0024,0.002,0.3984
"LA1908",0.0254,0.5,-0.2576,0.0023,0.002,0.4985
"LA1978",0.0254,0.75,-0.3863,0.0022,0.002,0.7485
"LA1464",0.0254,1,-0.5151,0.0022,0.002,0.9986
"LA1274",0.03,0.04,-0.0206,0.009,0.0025,0.0341
"LA1102",0.03,0.05,-0.0258,0.0073,0.0025,0.0452
"LA1765",0.03,0.075,-0.0386,0.0055,0.0025,0.0713
"LA1031",0.03,0.1,-0.0515,0.0047,0.0025,0.0969
"LA1907",0.03,0.15,-0.0773,0.0031,0.0016,0.147
"LA1541",0.03,0.2,-0.103,0.0028,0.0017,0.1968
"LA1832",0.03,0.25,-0.1288,0.0026,0.0017,0.2466
"LA1419",0.03,0.3,-0.1545,0.0025,0.0018,0.2963
"LA1237",0.03,0.5,-0.2575,0.0023,0.0018,0.4952
"LA1401",0.0508,0.06,-0.0309,0.0163,0.003,0.0492
"LA1145",0.0508,0.075,-0.0386,0.0125,0.003,0.0667
"LA1050",0.0508,0.1,-0.0515,0.0097,0.003,0.0936
"LA1384",0.0508,0.125,-0.0644,0.0082,0.003,0.1196
"LA1417",0.0508,0.15,-0.0773,0.0073,0.003,0.1452
"LA1399",0.0508,0.175,-0.0901,0.0067,0.003,0.1706
"LA1979",0.0508,0.2,-0.103,0.0062,0.003,0.1959
"LA1301",0.0508,0.25,-0.1288,0.0055,0.003,0.2464
"LA1256",0.0508,0.3,-0.1545,0.0051,0.003,0.2966
"LA1725",0.0508,0.4,-0.206,0.0046,0.003,0.397
"LA1380",0.0508,0.5,-0.2573,0.0043,0.003,0.4972
"LA1727",0.0508,0.75,-0.3863,0.0038,0.003,0.7475
"LA1779",0.0508,1,-0.5151,0.0036,0.003,0.9976
"LA1740",0.075,0.085,-0.0438,0.0242,0.003,0.069
"LA1238",0.075,0.1,-0.0515,0.0192,0.003,0.0873
"LA1002",0.075,0.15,-0.0773,0.0127,0.003,0.1416
"LA1353",0.075,0.2,-0.103,0.0101,0.003,0.1934
"LC1975",0.006,-0.024,0.0124,0.002,0.0024,-0.0253
"LC1906",0.009,-0.027,0.0139,0.002,0.0027,-0.0283
"LC1054",0.0127,-0.025,0.0129,0.003,0.0047,-0.027
"LC1060",0.0127,-0.03,0.0154,0.003,0.0044,-0.032
"LC1439",0.0127,-0.05,0.0257,0.0035,0.0043,-0.0523
"LC1259",0.025,-0.05,0.0257,0.0035,0.0067,-0.0523
"LC1258",0.025,-0.075,0.0386,0.0035,0.0056,-0.0773
"LC1254",0.025,-0.1,0.0515,0.004,0.0055,-0.1026
"LC1715",0.0254,-0.05,0.0257,0.0035,0.0069,-0.0523
"LC1582",0.0254,-0.075,0.0386,0.0035,0.0056,-0.0773
"LC1120",0.0254,-0.1,0.0515,0.004,0.0056,-0.1026
"LC1315b",0.0508,-0.075,0.0386,0.0035,0.013,-0.0773
"LC1093b",0.0508,-0.1,0.0515,0.004,0.0107,-0.1026
"LC1611c",0.0508,-0.15,0.0772,0.004,0.0083,-0.1526
